,County,fips,Population,Total Crashes,Total Fatal,Total Injury,Alcohol Involved Crashes,Alcohol Involved Fatal,Alcohol Involved Injury,Crashes per 1000 capita,Overall Fatal Rate,Alcohol Involved Fatal Rate
0,Alameda,06001,1668965,22768,96,10441,469,28,655,13.64198769896313,0.4216444132115249,5.970149253731343
1,Alpine,06003,1123,77,2,66,1,0,4,68.56634016028495,2.5974025974025974,0.0
2,Amador,06005,37724,521,16,276,29,4,38,13.810836602693247,3.071017274472169,13.793103448275861
3,Butte,06007,214532,2226,34,1262,130,9,143,10.376074431786401,1.527403414195867,6.923076923076923
4,Calaveras,06009,44403,598,11,305,44,4,45,13.467558498299665,1.839464882943144,9.090909090909092
5,Colusa,06011,22045,352,12,205,22,1,21,15.96733953277387,3.4090909090909087,4.545454545454546
6,Contra Costa,06013,1147269,12195,77,5982,383,27,492,10.629590793440771,0.6314063140631406,7.049608355091384
7,Del Norte,06015,27207,285,11,217,20,1,19,10.475245341272466,3.8596491228070176,5.0
8,El Dorado,06017,188818,1644,29,861,96,11,103,8.706797021470411,1.7639902676399026,11.458333333333332
9,Fresno,06019,1018437,7848,135,4247,297,34,305,7.7059258451921915,1.7201834862385321,11.447811447811448
10,Glenn,06021,29072,299,7,158,15,1,15,10.284810126582277,2.341137123745819,6.666666666666667
11,Humboldt,06023,133820,1713,24,737,92,14,100,12.800777163353759,1.4010507880910683,15.217391304347828
12,Imperial,06025,188962,1255,32,826,54,7,60,6.64154697769922,2.549800796812749,12.962962962962962
13,Inyo,06027,18463,309,12,159,11,1,10,16.73617505280832,3.8834951456310676,9.090909090909092
14,Kern,06029,909697,10427,154,5750,432,48,435,11.462058245767548,1.4769348805984464,11.11111111111111
15,Kings,06031,153522,1499,16,826,70,6,78,9.76407290160368,1.0673782521681119,8.571428571428571
16,Lake,06033,64080,717,15,390,53,5,55,11.189138576779026,2.092050209205021,9.433962264150944
17,Lassen,06035,28972,287,6,132,10,0,15,9.90611625017258,2.0905923344947737,0.0
18,Los Angeles,06037,10210966,148516,724,88090,3167,202,4784,14.544755119153272,0.4874895634140429,6.378275970950427
19,Madera,06039,157686,2567,39,1048,95,9,100,16.27918775287597,1.5192832099727307,9.473684210526317
